x;y;;x;y
69.35873;120.8242;;-1.65E+02;9.25E+01
66.20775;121.4544;;-1.58E+02;9.60E+01
59.90578;121.4544;;-1.48E+02;9.81E+01
54.23401;121.4544;;-1.40E+02;1.01E+02
51.71322;121.4544;;-1.33E+02;1.06E+02
49.82263;125.2355;;-1.23E+02;1.07E+02
44.15086;125.8657;;-1.19E+02;1.09E+02
39.73948;128.3865;;-1.10E+02;1.12E+02
34.6979;129.6469;;-9.94E+01;1.16E+02
30.28652;130.9073;;-8.88E+01;1.19E+02
26.50534;133.4281;;-7.89E+01;1.28E+02
23.98455;134.6885;;-6.83E+01;1.32E+02
16.42219;139.0999;;-6.05E+01;1.35E+02
10.12022;140.9905;;-5.20E+01;1.41E+02
4.448449;142.8811;;-4.00E+01;1.45E+02
0.03707041;145.4018;;-3.15E+01;1.48E+02
-3.113914;146.6622;;-2.51E+01;1.49E+02
-5.634702;148.5528;;-1.17E+01;1.58E+02
-11.30647;150.4434;;-4.58E+00;1.60E+02
-15.08766;151.0736;;3.21E+00;1.63E+02
-19.49903;152.334;;8.87E+00;1.66E+02
-28.95199;154.2246;;2.51E+01;1.74E+02
-31.47278;154.8548;;3.72E+01;1.77E+02
-37.77475;158.636;;4.57E+01;1.80E+02
-45.96731;161.1568;;5.13E+01;1.83E+02
-51.00888;161.787;;5.84E+01;1.86E+02
-55.42026;162.4172;;6.41E+01;1.86E+02
-61.09203;163.6776;;7.11E+01;1.89E+02
-66.13361;163.6776;;7.96E+01;1.89E+02
-71.80538;163.6776;;9.02E+01;1.92E+02
-80.62814;164.938;;9.66E+01;1.95E+02
-83.77912;165.5681;;1.05E+02;1.98E+02
-88.8207;166.8285;;1.10E+02;1.99E+02
-91.97168;167.4587;;1.13E+02;1.99E+02
-94.49247;167.4587;;1.13E+02;1.99E+02
-98.90385;167.4587;;1.15E+02;1.99E+02
-100.1642;168.0889;;1.20E+02;1.99E+02
-108.3568;168.0889;;1.25E+02;1.99E+02
-119.0702;168.0889;;1.34E+02;1.97E+02
-128.5231;164.3078;;1.41E+02;1.93E+02
-131.6741;163.6776;;1.46E+02;1.89E+02
-132.9345;163.6776;;1.53E+02;1.87E+02
-137.3459;160.5266;;1.55E+02;1.84E+02
-142.3874;154.2246;;1.56E+02;1.76E+02
-144.9082;151.0736;;1.62E+02;1.70E+02
-148.6894;146.032;;1.65E+02;1.68E+02
-151.8404;143.5113;;1.67E+02;1.67E+02
-157.5122;139.7301;;1.70E+02;1.63E+02
-163.1839;135.3187;;1.74E+02;1.60E+02
-166.9651;133.4281;;1.75E+02;1.58E+02
-171.3765;133.4281;;1.77E+02;1.58E+02
-177.6785;129.6469;;1.79E+02;1.53E+02
-181.4596;128.3865;;1.79E+02;1.50E+02
-183.3502;127.7563;;1.79E+02;1.48E+02
-185.2408;127.7563;;1.79E+02;1.46E+02
-189.6522;127.7563;;1.79E+02;1.44E+02
-191.5428;127.7563;;1.79E+02;1.42E+02
-191.5428;127.7563;;1.79E+02;1.41E+02
-197.8448;121.4544;;1.79E+02;1.41E+02
-204.1467;115.1524;;1.77E+02;1.37E+02
-204.7769;113.2618;;1.77E+02;1.36E+02
-208.5581;110.741;;1.77E+02;1.35E+02
-208.5581;108.2202;;1.76E+02;1.31E+02
-211.0789;104.439;;1.76E+02;1.29E+02
-214.8601;100.6579;;1.76E+02;1.27E+02
-216.7507;97.50688;;1.73E+02;1.23E+02
-217.3809;96.87668;;1.67E+02;1.17E+02
-217.3809;93.0955;;1.65E+02;1.14E+02
-217.3809;90.57471;;1.63E+02;1.13E+02
-217.3809;87.42373;;1.62E+02;1.12E+02
-217.3809;84.90294;;1.61E+02;1.09E+02
-217.3809;82.38215;;1.58E+02;1.07E+02
-218.6413;79.23117;;1.56E+02;1.07E+02
-218.6413;79.23117;;1.53E+02;1.06E+02
-218.6413;79.23117;;1.53E+02;1.06E+02
-217.3809;77.97077;;1.53E+02;1.05E+02
-216.7507;77.34058;;1.50E+02;1.05E+02
-212.9695;75.44999;;1.48E+02;1.04E+02
-209.8185;74.18959;;1.45E+02;1.04E+02
-207.9279;72.9292;;1.35E+02;1.02E+02
-206.6675;71.66881;;1.33E+02;1.02E+02
-205.4071;71.66881;;1.33E+02;1.02E+02
-202.8863;71.66881;;1.26E+02;1.02E+02
-198.475;70.40841;;1.24E+02;1.02E+02
-193.4334;70.40841;;1.20E+02;1.02E+02
-192.8032;70.40841;;1.16E+02;1.02E+02
-191.5428;70.40841;;1.09E+02;1.02E+02
-189.6522;71.03861;;1.04E+02;1.02E+02
-188.3918;71.03861;;9.73E+01;1.02E+02
-184.6106;72.9292;;9.45E+01;1.02E+02
-182.0898;75.44999;;9.02E+01;1.02E+02
-177.6785;75.44999;;8.81E+01;1.03E+02
-168.2255;75.44999;;8.46E+01;1.03E+02
-153.1008;76.71038;;7.89E+01;1.07E+02
-146.7988;79.23117;;7.54E+01;1.09E+02
-141.7572;81.75196;;7.26E+01;1.09E+02
-134.1949;88.05393;;6.55E+01;1.14E+02
-128.5231;93.0955;;5.91E+01;1.18E+02
-127.8929;94.98609;;5.20E+01;1.21E+02
-122.8513;100.6579;;4.50E+01;1.21E+02
-115.289;105.6994;;4.07E+01;1.21E+02
-106.4662;109.4806;;3.58E+01;1.22E+02
-95.12267;113.892;;2.87E+01;1.26E+02
-90.71129;115.1524;;2.16E+01;1.27E+02
-82.51873;116.4128;;1.66E+01;1.28E+02
-69.28459;121.4544;;1.03E+01;1.29E+02
-61.72223;125.8657;;1.79E+00;1.34E+02
-53.52967;130.9073;;-1.75E+00;1.36E+02
-48.48809;132.7979;;-5.99E+00;1.38E+02
-41.55593;137.8395;;-1.09E+01;1.41E+02
-37.14455;139.7301;;-1.66E+01;1.45E+02
-23.28022;146.032;;-2.01E+01;1.46E+02
-19.49903;147.2924;;-2.44E+01;1.48E+02
-11.93667;151.0736;;-2.79E+01;1.49E+02
14.5316;162.4172;;-3.08E+01;1.49E+02
22.72416;164.3078;;-3.22E+01;1.49E+02
28.39593;168.0889;;-3.43E+01;1.49E+02
35.3281;169.9795;;-3.93E+01;1.50E+02
43.52066;173.1305;;-4.70E+01;1.52E+02
54.8642;175.0211;;-5.41E+01;1.55E+02
59.90578;175.6513;;-5.76E+01;1.57E+02
69.35873;176.9117;;-6.05E+01;1.58E+02
77.55129;178.1721;;-6.68E+01;1.60E+02
86.37405;179.4325;;-7.18E+01;1.60E+02
91.41563;179.4325;;-7.46E+01;1.60E+02
93.93641;180.0627;;-8.17E+01;1.62E+02
98.34779;181.3231;;-8.81E+01;1.62E+02
104.0196;181.3231;;-9.44E+01;1.62E+02
110.9517;182.5835;;-9.87E+01;1.61E+02
117.8839;183.8439;;-1.07E+02;1.59E+02
127.3369;183.8439;;-1.14E+02;1.55E+02
135.5294;183.8439;;-1.19E+02;1.51E+02
140.571;181.9533;;-1.21E+02;1.50E+02
141.8314;176.2815;;-1.21E+02;1.50E+02
146.873;173.1305;;-1.21E+02;1.49E+02
150.6541;169.9795;;-1.26E+02;1.49E+02
155.0655;168.7191;;-1.35E+02;1.48E+02
157.5863;168.0889;;-1.40E+02;1.46E+02
164.5185;166.1983;;-1.42E+02;1.46E+02
166.4091;165.5681;;-1.44E+02;1.46E+02
167.6695;165.5681;;-1.51E+02;1.46E+02
167.6695;163.6776;;-1.54E+02;1.46E+02
168.2997;161.787;;-1.62E+02;1.43E+02
168.2997;158.0058;;-1.69E+02;1.40E+02
170.1902;151.7038;;-1.72E+02;1.37E+02
173.9714;147.9226;;-1.73E+02;1.36E+02
175.862;144.7716;;-1.79E+02;1.35E+02
177.7526;140.3603;;-1.86E+02;1.31E+02
179.013;138.4697;;-1.92E+02;1.27E+02
180.2734;135.9489;;-1.94E+02;1.26E+02
180.9036;134.6885;;-1.96E+02;1.23E+02
180.9036;134.6885;;;
180.9036;134.6885;;;
180.9036;130.9073;;;
180.2734;125.8657;;;
180.2734;122.0846;;;
180.2734;122.0846;;;
179.013;118.3034;;;
178.3828;116.4128;;;
178.3828;116.4128;;;
177.7526;115.1524;;;
177.1224;;;;
175.862;;;;
173.9714;;;;
